signal,domain,buffer_size,overload,retained,decimation,bits_per_index,bits_per_survivor,CR,bits_per_sample,snr_db,PRD_pct,CR_v3_float32
ecg_101,ecg,256,50,295,6.779661016949152,4.192032668004265,20.192032668004266,5.372147423427669,2.9783248185306292,28.533431,3.743936291679713,2.2598870056497176
ecg_101,ecg,512,2,1511,1.3236267372600927,3.261168384879725,19.261168384879724,1.0995193735384463,14.551812714776633,50.528112,0.2975736006567359,0.4412089124200309
ecg_101,ecg,512,3,1178,1.697792869269949,3.261168384879725,19.261168384879724,1.4103342728493995,11.344828178694158,44.759997,0.5780962470730536,0.5659309564233164
ecg_101,ecg,512,4,1011,1.9782393669634026,3.261168384879725,19.261168384879724,1.6432975009066195,9.7365206185567,42.151755,0.7805707084540705,0.6594131223211341
ecg_101,ecg,512,5,911,2.1953896816684964,3.261168384879725,19.261168384879724,1.8236814197767204,8.773462199312714,40.664733,0.9263249251148605,0.7317965605561654
ecg_101,ecg,512,6,845,2.366863905325444,3.261168384879725,19.261168384879724,1.9661228087770326,8.137843642611683,39.308825,1.0828261865618118,0.7889546351084813
ecg_101,ecg,512,10,711,2.8129395218002813,3.261168384879725,19.261168384879724,2.336671973862999,6.847345360824741,37.337324,1.3587319882581346,0.9376465072667605
ecg_101,ecg,512,20,611,3.2733224222585924,3.261168384879725,19.261168384879724,2.7191060121384494,5.884286941580755,35.161785,1.7454634133455418,1.0911074740861975
ecg_101,ecg,512,30,578,3.4602076124567476,3.261168384879725,19.261168384879724,2.874349088956042,5.56647766323024,34.97297,1.783821935080589,1.1534025374855825
ecg_101,ecg,512,50,551,3.629764065335753,3.261168384879725,19.261168384879724,3.0151974109194057,5.306451890034364,34.284319,1.9310078976112872,1.2099213551119177
ecg_105,ecg,64,2,1063,1.881467544684854,3.261168384879725,19.261168384879724,1.5629104171369637,10.237310996563574,43.797519,0.6458386772611611,0.6271558482282847
ecg_105,ecg,64,3,730,2.73972602739726,3.261168384879725,19.261168384879724,2.2758544841323185,7.030326460481099,38.11987,1.2416708912970924,0.91324200913242
ecg_105,ecg,64,4,563,3.552397868561279,3.261168384879725,19.261168384879724,2.950930325784356,5.422018900343643,34.785353,1.8227720055864312,1.1841326228537596
ecg_105,ecg,64,5,463,4.319654427645788,3.423209731176752,19.42320973117675,3.5583444651475387,4.496473052767418,32.892231,2.266670800341268,1.4398848092152627
ecg_105,ecg,64,6,397,5.037783375314861,3.6527698666530437,19.652769866653045,4.1014337699953485,3.90107481853063,31.706334,2.59826414337121,1.6792611251049538
ecg_105,ecg,64,10,263,7.604562737642586,4.438058143935553,20.438058143935553,5.953256564072579,2.687604645927525,28.91211,3.5842186888228453,2.534854245880862
ecg_105,ecg,64,20,163,12.269938650306749,5.204771457820872,21.204771457820872,9.25824731454488,1.728188873812401,24.51912,5.943523716293978,4.08997955010225
ecg_105,ecg,64,30,130,15.384615384615385,5.593155876895067,21.593155876895068,11.399623452782725,1.4035551319981794,21.222907,8.686696536251807,5.128205128205129
ecg_105,ecg,64,50,103,19.41747572815534,5.942266245376491,21.94226624537649,14.158957337232634,1.1300267116368894,14.790203,18.217544959351653,6.472491909385114
ecg_105,ecg,128,2,1127,1.774622892635315,3.261168384879725,19.261168384879724,1.474155965764501,10.853668384879724,44.635502,0.58644177558166,0.5915409642117717
ecg_105,ecg,128,3,794,2.5188916876574305,3.261168384879725,19.261168384879724,2.092410293975557,7.646683848797251,38.622837,1.171812563629556,0.8396305625524769
ecg_105,ecg,128,4,627,3.189792663476874,3.261168384879725,19.261168384879724,2.6497189368685685,6.038376288659793,35.681981,1.6439967323876383,1.063264221158958
ecg_105,ecg,128,5,527,3.795066413662239,3.261168384879725,19.261168384879724,3.152511904016304,5.075317869415808,33.607451,2.0875046424774624,1.2650221378874131
ecg_105,ecg,128,6,461,4.3383947939262475,3.4317906302274106,19.43179063022741,3.5722038191807957,4.479027740267418,32.748541,2.3044800353144796,1.4461315979754157
ecg_105,ecg,128,10,327,6.116207951070336,3.9866361749789636,19.986636174978962,4.896237984240407,3.2678150146090603,29.808054,3.2329374345118977,2.038735983690112
ecg_105,ecg,128,20,227,8.810572687224669,4.716132881209264,20.716132881209262,6.80480106031092,2.3512810820172514,27.031968,4.450426162441073,2.9368575624082234
ecg_105,ecg,128,30,194,10.309278350515465,4.899383674139066,20.899383674139067,7.89250325177555,2.0272402163914895,25.7782,5.141501892535226,3.4364261168384878
